,steps
131,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:34:00'}"
132,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:33:00'}"
133,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:32:00'}"
134,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:31:00'}"
135,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:30:00'}"
136,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:29:00'}"
137,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:28:00'}"
138,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:27:00'}"
139,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:26:00'}"
140,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:25:00'}"
141,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:24:00'}"
142,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:23:00'}"
143,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:22:00'}"
144,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:21:00'}"
145,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:20:00'}"
146,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:19:00'}"
147,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:18:00'}"
148,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:17:00'}"
149,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:16:00'}"
150,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:15:00'}"
151,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:14:00'}"
152,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:13:00'}"
153,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:12:00'}"
154,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:11:00'}"
155,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:10:00'}"
156,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:09:00'}"
157,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:08:00'}"
158,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:07:00'}"
159,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:06:00'}"
160,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:05:00'}"
161,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:04:00'}"
162,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:03:00'}"
163,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:02:00'}"
164,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:01:00'}"
165,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:00:00'}"
166,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:59:00'}"
167,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:58:00'}"
168,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:57:00'}"
169,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:56:00'}"
170,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:55:00'}"
171,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:54:00'}"
172,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:53:00'}"
173,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:52:00'}"
174,"{u'date': u'2013-09-07', u'steps': u'6', u'time': u'17:51:00'}"
175,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:50:00'}"
176,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:49:00'}"
177,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:48:00'}"
178,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:47:00'}"
179,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:46:00'}"
180,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:45:00'}"
181,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:44:00'}"
182,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:43:00'}"
183,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:42:00'}"
184,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:41:00'}"
185,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:40:00'}"
186,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:39:00'}"
187,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:38:00'}"
188,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:37:00'}"
189,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:36:00'}"
190,"{u'date': u'2013-09-07', u'steps': u'16', u'time': u'17:35:00'}"
191,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:34:00'}"
192,"{u'date': u'2013-09-07', u'steps': u'14', u'time': u'17:33:00'}"
193,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:32:00'}"
194,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:31:00'}"
195,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:30:00'}"
196,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:29:00'}"
197,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:28:00'}"
198,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:27:00'}"
199,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:26:00'}"
200,"{u'date': u'2013-09-07', u'steps': u'9', u'time': u'17:25:00'}"
201,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:24:00'}"
202,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:23:00'}"
203,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:22:00'}"
204,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:21:00'}"
205,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:20:00'}"
206,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:19:00'}"
207,"{u'date': u'2013-09-07', u'steps': u'7', u'time': u'17:18:00'}"
208,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:17:00'}"
209,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:16:00'}"
210,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:15:00'}"
211,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:14:00'}"
212,"{u'date': u'2013-09-07', u'steps': u'56', u'time': u'17:13:00'}"
213,"{u'date': u'2013-09-07', u'steps': u'65', u'time': u'17:12:00'}"
214,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:11:00'}"
215,"{u'date': u'2013-09-07', u'steps': u'11', u'time': u'17:10:00'}"
216,"{u'date': u'2013-09-07', u'steps': u'14', u'time': u'17:09:00'}"
217,"{u'date': u'2013-09-07', u'steps': u'40', u'time': u'17:08:00'}"
218,"{u'date': u'2013-09-07', u'steps': u'8', u'time': u'17:07:00'}"
219,"{u'date': u'2013-09-07', u'steps': u'74', u'time': u'17:06:00'}"
220,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:05:00'}"
