,steps
2066,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:19:00'}"
2067,"{u'date': u'2013-09-06', u'steps': u'18', u'time': u'10:18:00'}"
2068,"{u'date': u'2013-09-06', u'steps': u'53', u'time': u'10:17:00'}"
2069,"{u'date': u'2013-09-06', u'steps': u'34', u'time': u'10:16:00'}"
2070,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:15:00'}"
2071,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:14:00'}"
2072,"{u'date': u'2013-09-06', u'steps': u'19', u'time': u'10:13:00'}"
2073,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:12:00'}"
2074,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:11:00'}"
2075,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:10:00'}"
2076,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:09:00'}"
2077,"{u'date': u'2013-09-06', u'steps': u'33', u'time': u'10:08:00'}"
2078,"{u'date': u'2013-09-06', u'steps': u'11', u'time': u'10:07:00'}"
2079,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:06:00'}"
2080,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:05:00'}"
2081,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:04:00'}"
2082,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:03:00'}"
2083,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:02:00'}"
2084,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:01:00'}"
2085,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'10:00:00'}"
2086,"{u'date': u'2013-09-06', u'steps': u'50', u'time': u'09:59:00'}"
2087,"{u'date': u'2013-09-06', u'steps': u'17', u'time': u'09:58:00'}"
2088,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:57:00'}"
2089,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:56:00'}"
2090,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:55:00'}"
2091,"{u'date': u'2013-09-06', u'steps': u'18', u'time': u'09:54:00'}"
2092,"{u'date': u'2013-09-06', u'steps': u'93', u'time': u'09:53:00'}"
2093,"{u'date': u'2013-09-06', u'steps': u'86', u'time': u'09:52:00'}"
2094,"{u'date': u'2013-09-06', u'steps': u'14', u'time': u'09:51:00'}"
2095,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:50:00'}"
2096,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:49:00'}"
2097,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:48:00'}"
2098,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:47:00'}"
2099,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:46:00'}"
2100,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:45:00'}"
2101,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:44:00'}"
2102,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:43:00'}"
2103,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:42:00'}"
2104,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:41:00'}"
2105,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:40:00'}"
2106,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:39:00'}"
2107,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:38:00'}"
2108,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:37:00'}"
2109,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:36:00'}"
2110,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:35:00'}"
2111,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:34:00'}"
2112,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:33:00'}"
2113,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:32:00'}"
2114,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:31:00'}"
2115,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:30:00'}"
2116,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:29:00'}"
2117,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:28:00'}"
2118,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:27:00'}"
2119,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:26:00'}"
2120,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:25:00'}"
2121,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:24:00'}"
2122,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:23:00'}"
2123,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:22:00'}"
2124,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:21:00'}"
2125,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:20:00'}"
2126,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:19:00'}"
2127,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:18:00'}"
2128,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:17:00'}"
2129,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:16:00'}"
2130,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:15:00'}"
2131,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:14:00'}"
2132,"{u'date': u'2013-09-06', u'steps': u'8', u'time': u'09:13:00'}"
2133,"{u'date': u'2013-09-06', u'steps': u'29', u'time': u'09:12:00'}"
2134,"{u'date': u'2013-09-06', u'steps': u'47', u'time': u'09:11:00'}"
2135,"{u'date': u'2013-09-06', u'steps': u'6', u'time': u'09:10:00'}"
2136,"{u'date': u'2013-09-06', u'steps': u'30', u'time': u'09:09:00'}"
2137,"{u'date': u'2013-09-06', u'steps': u'24', u'time': u'09:08:00'}"
2138,"{u'date': u'2013-09-06', u'steps': u'6', u'time': u'09:07:00'}"
2139,"{u'date': u'2013-09-06', u'steps': u'16', u'time': u'09:06:00'}"
2140,"{u'date': u'2013-09-06', u'steps': u'46', u'time': u'09:05:00'}"
2141,"{u'date': u'2013-09-06', u'steps': u'6', u'time': u'09:04:00'}"
2142,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:03:00'}"
2143,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:02:00'}"
2144,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:01:00'}"
2145,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'09:00:00'}"
2146,"{u'date': u'2013-09-06', u'steps': u'50', u'time': u'08:59:00'}"
2147,"{u'date': u'2013-09-06', u'steps': u'51', u'time': u'08:58:00'}"
2148,"{u'date': u'2013-09-06', u'steps': u'35', u'time': u'08:57:00'}"
2149,"{u'date': u'2013-09-06', u'steps': u'46', u'time': u'08:56:00'}"
2150,"{u'date': u'2013-09-06', u'steps': u'28', u'time': u'08:55:00'}"
2151,"{u'date': u'2013-09-06', u'steps': u'26', u'time': u'08:54:00'}"
2152,"{u'date': u'2013-09-06', u'steps': u'79', u'time': u'08:53:00'}"
2153,"{u'date': u'2013-09-06', u'steps': u'35', u'time': u'08:52:00'}"
2154,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:51:00'}"
2155,"{u'date': u'2013-09-06', u'steps': u'31', u'time': u'08:50:00'}"
2156,"{u'date': u'2013-09-06', u'steps': u'54', u'time': u'08:49:00'}"
2157,"{u'date': u'2013-09-06', u'steps': u'6', u'time': u'08:48:00'}"
2158,"{u'date': u'2013-09-06', u'steps': u'6', u'time': u'08:47:00'}"
2159,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:46:00'}"
2160,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:45:00'}"
2161,"{u'date': u'2013-09-06', u'steps': u'16', u'time': u'08:44:00'}"
2162,"{u'date': u'2013-09-06', u'steps': u'50', u'time': u'08:43:00'}"
2163,"{u'date': u'2013-09-06', u'steps': u'48', u'time': u'08:42:00'}"
2164,"{u'date': u'2013-09-06', u'steps': u'21', u'time': u'08:41:00'}"
2165,"{u'date': u'2013-09-06', u'steps': u'19', u'time': u'08:40:00'}"
2166,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:39:00'}"
2167,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:38:00'}"
2168,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:37:00'}"
2169,"{u'date': u'2013-09-06', u'steps': u'8', u'time': u'08:36:00'}"
2170,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:35:00'}"
2171,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:34:00'}"
2172,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:33:00'}"
2173,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:32:00'}"
2174,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:31:00'}"
2175,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:30:00'}"
2176,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:29:00'}"
2177,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:28:00'}"
2178,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:27:00'}"
2179,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:26:00'}"
2180,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:25:00'}"
2181,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:24:00'}"
2182,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:23:00'}"
2183,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:22:00'}"
2184,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:21:00'}"
2185,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:20:00'}"
2186,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:19:00'}"
2187,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:18:00'}"
2188,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:17:00'}"
2189,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:16:00'}"
2190,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:15:00'}"
2191,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:14:00'}"
2192,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:13:00'}"
2193,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:12:00'}"
2194,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:11:00'}"
2195,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:10:00'}"
2196,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:09:00'}"
2197,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:08:00'}"
2198,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:07:00'}"
2199,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:06:00'}"
2200,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:05:00'}"
2201,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:04:00'}"
2202,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:03:00'}"
2203,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:02:00'}"
2204,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:01:00'}"
2205,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'08:00:00'}"
2206,"{u'date': u'2013-09-06', u'steps': u'41', u'time': u'07:59:00'}"
2207,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:58:00'}"
2208,"{u'date': u'2013-09-06', u'steps': u'13', u'time': u'07:57:00'}"
2209,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:56:00'}"
2210,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:55:00'}"
2211,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:54:00'}"
2212,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:53:00'}"
2213,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:52:00'}"
2214,"{u'date': u'2013-09-06', u'steps': u'15', u'time': u'07:51:00'}"
2215,"{u'date': u'2013-09-06', u'steps': u'13', u'time': u'07:50:00'}"
2216,"{u'date': u'2013-09-06', u'steps': u'6', u'time': u'07:49:00'}"
2217,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:48:00'}"
2218,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:47:00'}"
2219,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:46:00'}"
2220,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:45:00'}"
2221,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:44:00'}"
2222,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:43:00'}"
2223,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:42:00'}"
2224,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:41:00'}"
2225,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:40:00'}"
2226,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:39:00'}"
2227,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:38:00'}"
2228,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:37:00'}"
2229,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:36:00'}"
2230,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:35:00'}"
2231,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:34:00'}"
2232,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:33:00'}"
2233,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:32:00'}"
2234,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:31:00'}"
2235,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:30:00'}"
2236,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:29:00'}"
2237,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:28:00'}"
2238,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:27:00'}"
2239,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:26:00'}"
2240,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:25:00'}"
2241,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:24:00'}"
2242,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:23:00'}"
2243,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:22:00'}"
2244,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:21:00'}"
2245,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:20:00'}"
2246,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:19:00'}"
2247,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:18:00'}"
2248,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:17:00'}"
2249,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:16:00'}"
2250,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:15:00'}"
2251,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:14:00'}"
2252,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:13:00'}"
2253,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:12:00'}"
2254,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:11:00'}"
2255,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:10:00'}"
2256,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:09:00'}"
2257,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:08:00'}"
2258,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:07:00'}"
2259,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:06:00'}"
2260,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:05:00'}"
2261,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:04:00'}"
2262,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:03:00'}"
2263,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:02:00'}"
2264,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:01:00'}"
2265,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'07:00:00'}"
2266,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:59:00'}"
2267,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:58:00'}"
2268,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:57:00'}"
2269,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:56:00'}"
2270,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:55:00'}"
2271,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:54:00'}"
2272,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:53:00'}"
2273,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:52:00'}"
2274,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:51:00'}"
2275,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:50:00'}"
2276,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:49:00'}"
2277,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:48:00'}"
2278,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:47:00'}"
2279,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:46:00'}"
2280,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:45:00'}"
2281,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:44:00'}"
2282,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:43:00'}"
2283,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:42:00'}"
2284,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:41:00'}"
2285,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:40:00'}"
2286,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:39:00'}"
2287,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:38:00'}"
2288,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:37:00'}"
2289,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:36:00'}"
2290,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:35:00'}"
2291,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:34:00'}"
2292,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:33:00'}"
2293,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:32:00'}"
2294,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:31:00'}"
2295,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:30:00'}"
2296,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:29:00'}"
2297,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:28:00'}"
2298,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:27:00'}"
2299,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:26:00'}"
2300,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:25:00'}"
2301,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:24:00'}"
2302,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:23:00'}"
2303,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:22:00'}"
2304,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:21:00'}"
2305,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:20:00'}"
2306,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:19:00'}"
2307,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:18:00'}"
2308,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:17:00'}"
2309,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:16:00'}"
2310,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:15:00'}"
2311,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:14:00'}"
2312,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:13:00'}"
2313,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:12:00'}"
2314,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:11:00'}"
2315,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:10:00'}"
2316,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:09:00'}"
2317,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:08:00'}"
2318,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:07:00'}"
2319,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:06:00'}"
2320,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:05:00'}"
2321,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:04:00'}"
2322,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:03:00'}"
2323,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:02:00'}"
2324,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:01:00'}"
2325,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'06:00:00'}"
2326,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:59:00'}"
2327,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:58:00'}"
2328,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:57:00'}"
2329,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:56:00'}"
2330,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:55:00'}"
2331,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:54:00'}"
2332,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:53:00'}"
2333,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:52:00'}"
2334,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:51:00'}"
2335,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:50:00'}"
2336,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:49:00'}"
2337,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:48:00'}"
2338,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:47:00'}"
2339,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:46:00'}"
2340,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:45:00'}"
2341,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:44:00'}"
2342,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:43:00'}"
2343,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:42:00'}"
2344,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:41:00'}"
2345,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:40:00'}"
2346,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:39:00'}"
2347,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:38:00'}"
2348,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:37:00'}"
2349,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:36:00'}"
2350,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:35:00'}"
2351,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:34:00'}"
2352,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:33:00'}"
2353,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:32:00'}"
2354,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:31:00'}"
2355,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:30:00'}"
2356,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:29:00'}"
2357,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:28:00'}"
2358,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:27:00'}"
2359,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:26:00'}"
2360,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:25:00'}"
2361,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:24:00'}"
2362,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:23:00'}"
2363,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:22:00'}"
2364,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:21:00'}"
2365,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:20:00'}"
2366,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:19:00'}"
2367,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:18:00'}"
2368,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:17:00'}"
2369,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:16:00'}"
2370,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:15:00'}"
2371,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:14:00'}"
2372,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:13:00'}"
2373,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:12:00'}"
2374,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:11:00'}"
2375,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:10:00'}"
2376,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:09:00'}"
2377,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:08:00'}"
2378,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:07:00'}"
2379,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:06:00'}"
2380,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:05:00'}"
2381,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:04:00'}"
2382,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:03:00'}"
2383,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:02:00'}"
2384,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:01:00'}"
2385,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'05:00:00'}"
2386,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:59:00'}"
2387,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:58:00'}"
2388,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:57:00'}"
2389,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:56:00'}"
2390,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:55:00'}"
2391,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:54:00'}"
2392,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:53:00'}"
2393,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:52:00'}"
2394,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:51:00'}"
2395,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:50:00'}"
2396,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:49:00'}"
2397,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:48:00'}"
2398,"{u'date': u'2013-09-06', u'steps': u'0', u'time': u'04:47:00'}"
